Quantity,Price,Coupon Code,Ship Country,Month,Year,Color,star_rating,message,Fall,Spring,Summer,Winter,AirPods,AirTag,Apple iPhone X/XS,Apple iPhone XR,Apple iPhone XS MAX,Card Holder,Custom order,Desk Mat,Galaxy N10,Galaxy Note 10 Plus,Galaxy Note 10+,Galaxy Note 20,Galaxy S20 Plus,Galaxy S20 Ultra,Galaxy S22,Galaxy S22 Series,Galaxy S9,Galaxy S9 Plus,Huawei Mate 20 Lite,Huawei Mate 20 Pro,Huawei P20 Pro,Makeup Purse,Mouse Pad,Organizer,Samsung Galaxy S10,Samsung Galaxy S20,Samsung Galaxy S21,Samsung Galaxy S8,Samsung Galaxy S8 Plus,Samsung Note 10,Samsung Note 8,Samsung Note 9,Samsung S10,Watch Band,Women's Wallet,iPhone 11,iPhone 11 Pro Max,iPhone 12,iPhone 13 Pro,iPhone 13 Series,iPhone 14 Series,iPhone 7/8,iPhone SE,iPhone X,iPhone X/XS,iPhone XS MAX
1,33.5,1,1,12,2020,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,39.0,1,1,12,2020,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,41.5,1,1,12,2020,1.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,46.5,1,1,12,2020,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,39.75,1,1,12,2020,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,64.0,1,1,12,2020,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,44.0,1,5,12,2020,0.0,5.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,64.0,1,16,12,2020,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,20.870000000000005,1,2,12,2020,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24.0,1,5,12,2020,6.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
